3.16228,-0.5,-1.97072,-1.97461,-2.0141
2.51189,-0.4,-1.67579,-1.68043,-1.72085
1.99526,-0.3,-1.43458,-1.43881,-1.48126
1.58489,-0.2,-1.23373,-1.23814,-1.28235
1.25893,-0.1,-1.06421,-1.06894,-1.1157
1,-2.77556e-17,-0.919277,-0.924339,-0.97434
0.794328,0.1,-0.79389,-0.799384,-0.853187
0.630957,0.2,-0.684035,-0.69,-0.748369
0.501187,0.3,-0.586961,-0.593547,-0.657446
0.398107,0.4,-0.500503,-0.507796,-0.577968
0.316228,0.5,-0.42286,-0.431008,-0.508378
0.251189,0.6,-0.352689,-0.361874,-0.447361
0.199526,0.7,-0.289045,-0.299403,-0.393965
0.158489,0.8,-0.231006,-0.24274,-0.347352
0.125893,0.9,-0.177938,-0.191272,-0.306864
0.1,1,-0.12938,-0.14453,-0.271809
0.0794328,1.1,-0.0848741,-0.102133,-0.241737
0.0630957,1.2,-0.0441173,-0.0637444,-0.216095
0.0501187,1.3,-0.0068536,-0.02916,-0.194422
0.0398107,1.4,0.0271323,0.0018751,-0.176231
0.0316228,1.5,0.057983,0.0295266,-0.161056
0.0251189,1.6,0.0858388,0.0539683,-0.148515
0.0199526,1.7,0.110855,0.0754002,-0.138207
0.0158489,1.8,0.133148,0.0940084,-0.129781
0.0125893,1.9,0.152848,0.110025,-0.122922
0.01,2,0.170105,0.123694,-0.11737
0.00794328,2.1,0.185084,0.135215,-0.112907
0.00630957,2.2,0.197968,0.144868,-0.109277
0.00501187,2.3,0.208928,0.1529,-0.106389
0.00398107,2.4,0.218174,0.159501,-0.104077
0.00316228,2.5,0.225926,0.164933,-0.102235
0.00251189,2.6,0.232352,0.169341,-0.100754
0.00199526,2.7,0.237643,0.17293,-0.0995574
0.00158489,2.8,0.241975,0.175811,-0.0986166
0.00125893,2.9,0.245517,0.178144,-0.0978803
0.001,3,0.248388,0.180019,-0.0972716
0.000794328,3.1,0.250701,0.181522,-0.0968155
0.000630957,3.2,0.252568,0.182722,-0.0964357
0.000501187,3.3,0.254067,0.183688,-0.096132
0.000398107,3.4,0.255276,0.184453,-0.095879
0.000316228,3.5,0.256227,0.185067,-0.095702
0.000251189,3.6,0.256996,0.185548,-0.0955503
0.000199526,3.7,0.257613,0.18593,-0.0954239
0.000158489,3.8,0.25811,0.186245,-0.0953228
0.000125893,3.9,0.258486,0.186494,-0.095247
0.0001,4,0.258802,0.186692,-0.0951965
7.94328e-05,4.1,0.259042,0.186841,-0.0951459
6.30957e-05,4.2,0.259253,0.186957,-0.0951207
5.01187e-05,4.3,0.259403,0.187057,-0.0950702
3.98107e-05,4.4,0.259523,0.187139,-0.0950449
3.16228e-05,4.5,0.259628,0.187206,-0.0950449
2.51189e-05,4.6,0.259703,0.187255,-0.0950196
1.99526e-05,4.7,0.259763,0.187288,-0.0950196
1.58489e-05,4.8,0.259808,0.187322,-0.0949944
1.25893e-05,4.9,0.259853,0.187338,-0.0949944
1e-05,5,0.259883,0.187371,-0.0949944
7.94328e-06,5.1,0.259913,0.187388,-0.0949691
6.30957e-06,5.2,0.259928,0.187388,-0.0949691
5.01187e-06,5.3,0.259943,0.187404,-0.0949691
3.98107e-06,5.4,0.259958,0.187404,-0.0949691
